query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,cv_dollar_tier,gsc_imps,gsc_position,gtrends_signal,serp_features,topical_relevance,voice_variant,speakable_eligible,aio_cited_domains,target_page_slug,priority,notes
stormwater drainage contractor eugene or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,More local variant
french drain installation springfield or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Springfield modifier — same page target
yard drainage springfield or,autocomplete,transactional,consideration,yes,scheduled,mid,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P1,
drainage excavation eugene oregon,autocomplete,transactional,decision,yes,scheduled,mid,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Excavation framing variant; connects to parent service hub
french drain installation near me,autocomplete,transactional,decision,yes,scheduled,head,high,$$,0,,moderate,local pack,8,,yes,,/drainage-installation-eugene-oregon,P1,Near-me modifier; local pack trigger
drainage contractor near me,autocomplete,transactional,decision,yes,scheduled,head,high,$$,0,,moderate,local pack,9,,yes,,/drainage-installation-eugene-oregon,P1,Near-me variant
french drain near me,autocomplete,transactional,decision,yes,scheduled,head,high,$$,0,,moderate,local pack,9,,yes,,/drainage-installation-eugene-oregon,P1,
yard drainage contractor near me,autocomplete,transactional,decision,yes,scheduled,head,high,$$,0,,moderate,local pack,8,,yes,,/drainage-installation-eugene-oregon,P1,
how much does a french drain cost in oregon,autocomplete,commercial,consideration,yes,scheduled,long,high,$$,0,,moderate,featured snippet,9,how much does a french drain cost in oregon,yes,,/drainage-installation-eugene-oregon,P1,Oregon-wide informational with local intent
french drain cost per linear foot oregon,autocomplete,commercial,consideration,yes,scheduled,long,high,$$,0,,moderate,,9,,yes,,/drainage-installation-eugene-oregon,P2,Cost-per-foot query; $10-$100+/ft
french drain cost per linear foot eugene,autocomplete,commercial,consideration,yes,scheduled,long,high,$$,0,,low,,10,,yes,,/drainage-installation-eugene-oregon,P1,Eugene-specific cost query
how much does a french drain cost,autocomplete,commercial,awareness,no,scheduled,head,medium,$,0,,high,featured snippet,8,how much does a french drain cost,yes,,/drainage-installation-eugene-oregon,P2,Broad — useful for national comparison framing
french drain installation cost per foot,autocomplete,commercial,consideration,no,scheduled,mid,medium,$,0,,high,,8,,yes,,/drainage-installation-eugene-oregon,P2,
curtain drain eugene oregon,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Zero competitor coverage; strong differentiator
curtain drain installation oregon,autocomplete,transactional,decision,yes,scheduled,mid,high,$$,0,,low,,7,,yes,,/drainage-installation-eugene-oregon,P2,Oregon-wide curtain drain
curtain drain vs french drain,autocomplete,informational,consideration,no,browse,mid,medium,$,0,,moderate,featured snippet,9,what is the difference between a curtain drain and a french drain,yes,,/drainage-installation-eugene-oregon,P1,No competitor covers this in this market
what is a curtain drain,autocomplete,informational,awareness,no,browse,mid,low,,0,,low,featured snippet,8,what is a curtain drain,yes,,/drainage-installation-eugene-oregon,P2,Definitional query
french drain vs swale eugene,autocomplete,informational,consideration,yes,browse,long,medium,$,0,,low,,8,what is the difference between a french drain and a swale,yes,,/drainage-installation-eugene-oregon,P2,Boundary keyword — cross-link to grading-leveling page
swale vs french drain which do i need,autocomplete,informational,consideration,no,browse,long,medium,$,0,,moderate,featured snippet,9,do i need a swale or a french drain,yes,,/drainage-installation-eugene-oregon,P1,Decision-stage buyer intent
yard drainage solutions eugene or,autocomplete,commercial,consideration,yes,scheduled,long,medium,$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P2,
wet yard fix eugene oregon,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,how do i fix a wet yard in eugene oregon,yes,,/drainage-installation-eugene-oregon,P1,Customer-language query; wet year = Eugene pain point
yard flooding fix eugene or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,
wet yard lane county oregon,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,
yard drainage problems willamette valley,autocomplete,informational,awareness,yes,browse,long,medium,$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,Willamette Valley modifier
french drain permit eugene or,autocomplete,informational,consideration,yes,scheduled,long,high,$$,0,,low,featured snippet,10,do i need a permit for a french drain in eugene oregon,yes,,/drainage-installation-eugene-oregon,P1,EC §6.610 — the single strongest Eugene-specific keyword
storm drain connection permit eugene oregon,autocomplete,informational,consideration,yes,scheduled,long,high,$$,0,,low,,10,,yes,,/drainage-installation-eugene-oregon,P1,EC §6.610 direct query
eugene stormwater connection permit,autocomplete,informational,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Direct permit query
do i need a permit for a french drain in oregon,autocomplete,informational,consideration,yes,browse,long,medium,$,0,,low,featured snippet,8,do i need a permit for a french drain in oregon,yes,,/drainage-installation-eugene-oregon,P2,Oregon-wide permit informational
where does french drain water go,autocomplete,informational,awareness,no,browse,long,low,,0,,moderate,featured snippet,9,where does the water from a french drain go,yes,,/drainage-installation-eugene-oregon,P1,The single most-cited forum question; featured snippet target
how deep should a french drain be,autocomplete,informational,awareness,no,browse,mid,low,,0,,high,featured snippet,9,how deep should a french drain be,yes,,/drainage-installation-eugene-oregon,P1,
how deep does a french drain need to be in oregon,autocomplete,informational,awareness,yes,browse,long,low,,0,,low,featured snippet,9,how deep does a french drain need to be in oregon,yes,,/drainage-installation-eugene-oregon,P1,Oregon-specific framing of depth question
french drain depth,autocomplete,informational,awareness,no,browse,mid,low,,0,,high,,8,,yes,,/drainage-installation-eugene-oregon,P2,
french drain slope,autocomplete,informational,awareness,no,browse,mid,low,,0,,moderate,,8,,yes,,/drainage-installation-eugene-oregon,P2,1% grade answer
french drain pipe type,autocomplete,informational,awareness,no,browse,mid,low,,0,,moderate,,8,,yes,,/drainage-installation-eugene-oregon,P2,PVC vs corrugated
french drain filter fabric,autocomplete,informational,awareness,no,browse,long,medium,$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,Clay soil context makes this relevant
french drain filter fabric clay soil,autocomplete,informational,awareness,no,browse,long,medium,$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Eugene Malpass clay context — strong local differentiator
french drain willamette valley,autocomplete,informational,awareness,yes,browse,long,medium,$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P2,
french drain clay soil installation,autocomplete,informational,awareness,no,browse,long,medium,$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P2,Clay soil differentiation
french drain gravel,autocomplete,informational,awareness,no,browse,mid,low,,0,,moderate,,7,,yes,,/drainage-installation-eugene-oregon,P3,
french drain dry well,autocomplete,informational,awareness,no,browse,mid,low,,0,,moderate,,8,,yes,,/drainage-installation-eugene-oregon,P2,Dry well pairing
french drain vs dry well,autocomplete,informational,consideration,no,browse,mid,low,,0,,moderate,featured snippet,8,what is the difference between a french drain and a dry well,yes,,/drainage-installation-eugene-oregon,P1,Zero competitor covers this
dry well installation eugene oregon,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,
dry well installation lane county,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,
dry well installation cost oregon,autocomplete,commercial,consideration,yes,scheduled,long,high,$$,0,,low,,7,,yes,,/drainage-installation-eugene-oregon,P2,
catch basin installation eugene or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Zero competitor coverage
catch basin drainage springfield or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,
catch basin installation cost oregon,autocomplete,commercial,consideration,yes,scheduled,long,high,$$,0,,low,,7,,yes,,/drainage-installation-eugene-oregon,P2,
culvert installation lane county,autocomplete,transactional,decision,yes,scheduled,mid,high,$$,0,,low,,7,,yes,,/drainage-installation-eugene-oregon,P2,
culvert installation eugene or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,7,,yes,,/drainage-installation-eugene-oregon,P2,
driveway culvert installation lane county,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,6,,no,,/drainage-installation-eugene-oregon,P3,Crosses into driveway-repair territory — mention + cross-link
drainage excavation cost eugene or,autocomplete,commercial,consideration,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P2,
drainage trench cost oregon,autocomplete,commercial,consideration,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,
french drain repair eugene or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,
french drain clogged eugene oregon,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,Failure-mode query — clay soil clogging context
french drain not working fix,autocomplete,transactional,decision,no,scheduled,mid,medium,$,0,,moderate,,8,,yes,,/drainage-installation-eugene-oregon,P2,
regraded yard still wet,autocomplete,informational,awareness,no,browse,long,medium,$,0,,moderate,featured snippet,9,my yard was regraded but still has standing water what should i do,yes,,/drainage-installation-eugene-oregon,P1,Highest-conversion scenario — failed prior fix
regraded yard still has standing water,autocomplete,informational,awareness,no,browse,long,medium,$,0,,moderate,,9,,yes,,/drainage-installation-eugene-oregon,P1,Same as above — alternate phrasing
french drain after regrading yard,autocomplete,informational,consideration,no,browse,long,medium,$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Decision-stage buyer who had grading done first
drainage problems clay soil,autocomplete,informational,awareness,no,browse,mid,medium,$,0,,moderate,,8,,yes,,/drainage-installation-eugene-oregon,P2,
malpass clay drainage,autocomplete,informational,awareness,yes,browse,long,low,,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Niche; Eugene-specific; strong authority signal
west eugene yard drainage,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Neighborhood modifier — Malpass clay context
eugene oregon drainage problems,autocomplete,informational,awareness,yes,browse,mid,medium,$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P2,
drainage problems willamette valley,autocomplete,informational,awareness,yes,browse,long,medium,$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,
how long does a french drain last,autocomplete,informational,awareness,no,browse,mid,low,,0,,moderate,featured snippet,8,how long does a french drain last,yes,,/drainage-installation-eugene-oregon,P2,15-25+ years answer
french drain lifespan,autocomplete,informational,awareness,no,browse,mid,low,,0,,moderate,,7,,yes,,/drainage-installation-eugene-oregon,P3,
french drain maintenance,autocomplete,informational,awareness,no,browse,mid,low,,0,,moderate,,7,,yes,,/drainage-installation-eugene-oregon,P3,
licensed drainage contractor eugene or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,CCB license trust signal
licensed drainage contractor oregon,autocomplete,transactional,decision,yes,scheduled,mid,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,
ccb licensed excavation contractor eugene,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,
excavation drainage contractor eugene or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Combines service categories
drainage excavation contractor lane county,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,
french drain installation free estimate eugene,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,CTA-adjacent query
free estimate drainage eugene oregon,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,CTA-adjacent query
drain excavation springfield or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,Springfield modifier
yard drainage cottage grove oregon,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,7,,no,,/drainage-installation-eugene-oregon,P3,Tier 2 Lane County city
french drain junction city oregon,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,7,,no,,/drainage-installation-eugene-oregon,P3,Tier 2 city
drainage contractor creswell or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,7,,no,,/drainage-installation-eugene-oregon,P3,Tier 2 city
drainage contractor veneta or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,6,,no,,/drainage-installation-eugene-oregon,P3,Tier 2 city
perimeter drain installation eugene or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,Foundation perimeter drain variant
foundation perimeter drain eugene oregon,autocomplete,transactional,consideration,yes,scheduled,long,high,$$,0,,low,,8,,yes,,/drainage-installation-eugene-oregon,P2,Foundation perimeter context — cross-link to foundation-excavation-eugene page
drainage trench excavation eugene or,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,
drainage installation contractor springfield eugene,autocomplete,transactional,decision,yes,scheduled,long,high,$$,0,,low,,9,,yes,,/drainage-installation-eugene-oregon,P1,Both city modifiers
french drain installation contractor,autocomplete,transactional,decision,no,scheduled,mid,high,$$,0,,high,local pack,8,,yes,,/drainage-installation-eugene-oregon,P2,Without city modifier — useful for internal context
drainage contractor license oregon,autocomplete,informational,awareness,yes,browse,mid,medium,$,0,,low,,7,,no,,/drainage-installation-eugene-oregon,P3,CCB licensing context
how to hire drainage contractor oregon,autocomplete,informational,consideration,yes,browse,long,low,,0,,low,,6,,no,,/drainage-installation-eugene-oregon,P3,
