query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,target_page_slug,priority,notes
CCB licensed excavator foundation eugene,serp,commercial,decision,y,scheduled,mid,medium,/foundation-excavation/,P2,CCB-specific phrasing
bonded foundation excavation contractor oregon,serp,commercial,decision,y,scheduled,mid,low,/foundation-excavation/,P2,Bonded-trust phrasing
foundation excavation Willamette Valley clay soil,serp,informational,awareness,y,browse,mid,low,/foundation-excavation/,P2,Regional soil-context phrasing
excavating foundation in clay soil oregon,serp,informational,awareness,y,browse,mid,low,/foundation-excavation/,P2,Clay-soil-specific phrasing
can you dig a basement in oregon,serp,informational,awareness,y,browse,mid,low,/foundation-excavation/,P2,High water table/feasibility phrasing
foundation excavation cottage grove oregon,serp,commercial,decision,y,scheduled,mid,medium,/foundation-excavation/,P2,Tier 2 city variant
foundation excavation junction city oregon,serp,commercial,decision,y,scheduled,mid,medium,/foundation-excavation/,P2,Tier 2 city variant
foundation excavation creswell oregon,serp,commercial,decision,y,scheduled,mid,low,/foundation-excavation/,P3,Tier 2 city variant
foundation excavation veneta oregon,serp,commercial,decision,y,scheduled,mid,low,/foundation-excavation/,P3,Tier 2 city variant (All Dirt's home base)
foundation excavation florence oregon,serp,commercial,decision,y,scheduled,mid,low,/foundation-excavation/,P3,Tier 3 city variant
foundation excavation oakridge oregon,serp,commercial,decision,y,scheduled,mid,low,/foundation-excavation/,P3,Tier 3 city variant
foundation excavation coburg oregon,serp,commercial,decision,y,scheduled,mid,low,/foundation-excavation/,P3,Tier 3 city variant
foundation excavation lowell oregon,serp,commercial,decision,y,scheduled,mid,low,/foundation-excavation/,P3,Tier 3 city variant
new home construction excavation eugene,serp,commercial,decision,y,scheduled,mid,high,/foundation-excavation/,P1,Builder-facing new-construction phrasing
homebuilder foundation excavation lane county,serp,commercial,decision,y,scheduled,mid,high,/foundation-excavation/,P1,GC/builder-facing phrasing
excavation contractor for spec home foundation,serp,commercial,decision,n,scheduled,mid,medium,/foundation-excavation/,P2,Spec-home builder phrasing
foundation excavation subdivision oregon,serp,commercial,decision,y,scheduled,mid,medium,/foundation-excavation/,P2,Subdivision-scale phrasing
what does foundation excavation include,serp,informational,consideration,n,browse,head,medium,/foundation-excavation/,P0,Scope-definition query
what is included in a foundation dig,serp,informational,consideration,n,browse,mid,medium,/foundation-excavation/,P1,Scope-definition variant
excavation for footings and stem walls,serp,informational,awareness,n,browse,mid,low,/foundation-excavation/,P2,Stem-wall/footing phrasing
excavation for slab foundation,serp,commercial,decision,n,scheduled,mid,medium,/foundation-excavation/,P1,Slab-specific phrasing
excavation for crawl space,serp,commercial,decision,n,scheduled,mid,medium,/foundation-excavation/,P1,Crawlspace-specific phrasing
excavation for basement,serp,commercial,decision,n,scheduled,mid,medium,/foundation-excavation/,P1,Basement-specific phrasing
how deep is a crawlspace excavation,serp,informational,awareness,n,browse,long,low,/foundation-excavation/,P1,Crawlspace-depth question
how deep is a basement excavation,serp,informational,awareness,n,browse,long,medium,/foundation-excavation/,P1,Basement-depth question
crawlspace clearance height requirements,serp,informational,awareness,n,browse,mid,low,/foundation-excavation/,P2,Clearance-height phrasing (ties to 18-48in fact)
grade beam foundation excavation,serp,informational,awareness,n,browse,mid,low,/foundation-excavation/,P3,Adjacent foundation-type phrasing (not a core D&D-confirmed type)
frost protected shallow foundation oregon,serp,informational,awareness,n,browse,mid,low,/foundation-excavation/,P2,FPSF alternative-method phrasing (ties to R403.1.4.1 method list)
excavating for a foundation on a slope,serp,informational,awareness,n,browse,mid,low,/foundation-excavation/,P2,Sloped-site phrasing
foundation excavation rock removal cost,serp,commercial,consideration,n,browse,mid,high,/foundation-excavation/,P1,Rock-cost phrasing (foundation-specific stakes)
what if they hit rock excavating my foundation,serp,informational,consideration,n,browse,long,high,/foundation-excavation/,P0,Direct objection/cost-anxiety phrasing
foundation excavation delays building permit,serp,informational,consideration,n,browse,long,medium,/foundation-excavation/,P1,Timeline/permit-anxiety phrasing
will a bad foundation excavation fail inspection,serp,informational,consideration,n,browse,long,medium,/foundation-excavation/,P1,Inspection-failure-anxiety phrasing
what happens if a footing inspection fails,serp,informational,consideration,n,browse,long,medium,/foundation-excavation/,P1,Inspection-failure phrasing
foundation excavation eugene reviews,serp,commercial,decision,y,scheduled,mid,medium,/foundation-excavation/,P2,Review-seeking local query
best foundation excavation contractor eugene oregon,serp,commercial,decision,y,scheduled,mid,high,/foundation-excavation/,P0,Best-of/listicle-triggering query
foundation excavation quote eugene,serp,commercial,decision,y,scheduled,mid,high,/foundation-excavation/,P1,Quote-seeking local query
free estimate foundation excavation lane county,serp,commercial,decision,y,scheduled,mid,high,/foundation-excavation/,P0,Direct conversion-phrase query
foundation excavation and backfill eugene,serp,commercial,decision,y,scheduled,mid,high,/foundation-excavation/,P1,Combined-scope local query
excavating and pouring a foundation eugene,serp,commercial,decision,y,scheduled,mid,medium,/foundation-excavation/,P2,Adjacent-scope phrasing (D&D does not pour — fence note)
foundation contractor eugene oregon,serp,commercial,decision,y,scheduled,head,high,/foundation-excavation/,P1,Broader "foundation contractor" query (captures TerraFirma-adjacent searchers)
foundation repair vs foundation excavation,serp,informational,awareness,n,browse,mid,low,/foundation-excavation/,P2,Disambiguation vs. the repair category (TerraFirma-adjacent)
new foundation vs foundation repair oregon,serp,informational,awareness,n,browse,long,low,/foundation-excavation/,P3,Disambiguation vs. the repair category
