entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
Pumping Frequency Guidance,Concept,DEQ Septic Pumping Frequency Guidance,,,Thing,7,process_entity,VALIDATED,https://www.oregon.gov/deq/Residential/Pages/Onsite-about.aspx,n/a,"NEW — DEQ's own guidance: pump every 3-5 yrs by household size, or inspect every 5-7 yrs and pump at ~40% solids"
Home-Sale Septic Disclosure,Concept,Oregon Septic Disclosure at Time of Sale,,,Thing,7,process_entity,VALIDATED,https://oregonrealtors.org/sites/default/files/Oregon%20Property%20Seller%20Advisory_11.05.18_MVD%5B1%5D.pdf,n/a,"NEW — no state-mandated septic inspection found; ORS 105.465 Seller's Property Disclosure Statement covers known defects; On-Site Sewage Addendum and lender/buyer-required inspection are common practice, not statute"
Lane County,AdministrativeArea,"Lane County, Oregon",Q495409,,AdministrativeArea,9,geo_primary,VALIDATED,https://en.wikipedia.org/wiki/Lane_County,_Oregon,n/a,Canonical form reused from home pack row 11
Eugene,City,"Eugene, Oregon",,,City,9,geo_primary,VALIDATED,https://en.wikipedia.org/wiki/Eugene,_Oregon,4/8 excavation competitors offer septic; 3 dedicated septic specialists also found here,Canonical form reused from home pack row 12
Springfield,City,"Springfield, Oregon",,,City,7,geo_secondary,VALIDATED,https://en.wikipedia.org/wiki/Springfield,_Oregon,n/a,Canonical form reused from home pack row 13
Veneta,City,"Veneta, Oregon",,,City,5,geo_secondary,VALIDATED,https://en.wikipedia.org/wiki/Veneta,_Oregon,All Dirt (full septic line) based here,Canonical form reused from home pack row 17
Creswell,City,"Creswell, Oregon",,,City,5,geo_secondary,VALIDATED,https://en.wikipedia.org/wiki/Creswell,_Oregon,Named specifically in business-info.md's rural-septic-angle note,Canonical form reused from home pack row 16
Willamette Valley,Place,Willamette Valley,,,Place,6,geo_context,VALIDATED,https://en.wikipedia.org/wiki/Willamette_Valley,n/a,"Canonical form reused from home pack — clay soil / high water table is a common driver of alternative-system requirements on this page"
All Dirt Inc,Organization,"All Dirt, Inc.",,,GeneralContractor,7,competitor,VALIDATED_LOCAL,https://alldirtinc.com/,n/a,"CONFIRMED full septic service line this session: pumping, DEQ-standard installation, advanced treatment systems, specialized (pressure-dosed/mound) drainfields — the deepest septic offering of any excavation competitor checked"
Emerald Excavating,Organization,Emerald Excavating,,,GeneralContractor,7,competitor,VALIDATED_LOCAL,https://www.emeraldexc.com/septic-systems,n/a,"CONFIRMED this session: dedicated /septic-systems page, self-described 'DEQ licensed septic system experts,' DEQ# 33500, 60+ years operating in Lane County"
McKenzie Excavating,Organization,"McKenzie Excavating, Inc.",,,GeneralContractor,6,competitor,VALIDATED_LOCAL,https://mckenzieexcavatingor.com/septic-systems,n/a,"CONFIRMED this session: dedicated /septic-systems page ('Expert Septic System Installation In Eugene, OR'); only competitor besides Emerald with a standalone septic URL"
Braun Excavating,Organization,Braun Excavating Inc.,,,GeneralContractor,6,competitor,VALIDATED_LOCAL,https://www.braunexcavating.net/,n/a,"CONFIRMED this session: 'installed hundreds of septic systems, including repairs, new construction, advantex, sand filters, and city sewers' — names specific ATT system types, unique among competitors checked"
Danco Excavation,Organization,Danco Excavation,,,GeneralContractor,5,competitor,VALIDATED_LOCAL,https://dancoexcavation.com/,n/a,"CONFIRMED this session: does NOT install septic themselves — explicitly positions as 'excavation and site preparation support for septic system installations and repairs' for other septic contractors, despite holding DEQ# 39637. Genuine, citable nuance for this page's competitor framing."
Heavy D Excavation,Organization,Heavy D Excavation,,,GeneralContractor,3,competitor,VALIDATED_LOCAL,https://www.heavydexcavation.net/,n/a,CONFIRMED this session — no septic service of any kind found on their site
Strasheim Contracting,Organization,Strasheim Contracting,,,GeneralContractor,3,competitor,VALIDATED_LOCAL,https://www.strasheimcontracting.com/excavation-team-eugene-or,n/a,No septic service found in this pass
A&D Excavation and Land Improvement,Organization,A&D Excavation and Land Improvement LLC,,,GeneralContractor,3,competitor,VALIDATED_LOCAL,https://adexcavationllc.com/,n/a,Septic status not confirmed in this pass — same unresolved status as prior sibling packs
Oregon Septic,Organization,Oregon Septic,,,Organization,6,competitor_specialist,VALIDATED_LOCAL,https://oregonseptic.co/,n/a,"NEW — dedicated septic-only specialist, self-described 'Eugene's #1 Septic Service Provider'; pumping, DEQ inspections, 24/7 emergency repairs. Represents the DIFFERENT competitive set this page must consider beyond excavation generalists."
Best Septic,Organization,Best Septic,,,Organization,5,competitor_specialist,VALIDATED_LOCAL,,n/a,"NEW — dedicated septic pumping specialist, 15+ years, serves Lane/Linn/Benton/Marion/Polk/Douglas counties, large vacuum-truck fleet, 24/7 emergency service"
Westco Services,Organization,Westco Services,,,Organization,5,competitor_specialist,VALIDATED_LOCAL,https://westcoservices.org/,n/a,"NEW — dedicated septic specialist offering full inspections (camera line-scoping, drainfield flow testing, as-builts), serves Eugene/Springfield/Creswell/Cottage Grove"
Royal Flush Environmental Services,Organization,Royal Flush Environmental Services,,,Organization,4,competitor_specialist,VALIDATED_LOCAL,https://royalflushservices.com/,n/a,"NEW — combined septic + excavation specialist based in Eugene, positions itself directly against the general-excavation-contractor category"
Service (schema.org type),SchemaType,Service,,,Service,8,schema_recommendation,VALIDATED,https://schema.org/Service,n/a,Reused from sibling packs — recommended @type for this page
GeneralContractor (schema.org type),SchemaType,GeneralContractor,,,GeneralContractor,9,schema_recommendation,VALIDATED,https://schema.org/GeneralContractor,n/a,Reused from home pack — business-level @type, unchanged
