entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
Springfield,City,"Springfield, Oregon",,,City,8,geo_secondary,VALIDATED,https://en.wikipedia.org/wiki/Springfield,_Oregon,6/10 competitors serve,Canonical form reused from home pack row 13
All Dirt Inc,Organization,"All Dirt, Inc.",,,GeneralContractor,7,competitor,VALIDATED_LOCAL,https://alldirtinc.com/services/excavation,n/a,"Has a dedicated /services/excavation page listing the exact process-entity set the topical map §6.2 flags as [COMPETITOR]-validated: foundation excavation, utility trenching, precision grading, backfill/compaction, drainage, erosion control, rock removal, site access roads — ""the model to beat"" finding sharpens further on this page"
McKenzie Excavating,Organization,"McKenzie Excavating, Inc.",,,GeneralContractor,6,competitor,VALIDATED_LOCAL,https://www.mckenzieexcavatingor.com/excavating,n/a,"Only competitor besides BBC to name pond excavation specifically (""pond excavation"" in service list)"
Danco Excavation,Organization,Danco Excavation,,,GeneralContractor,5,competitor,VALIDATED_LOCAL,https://dancoexcavation.com/,n/a,Uses combined ""Excavation & Grading"" heading — does not distinguish the two as separate scopes
Heavy D Excavation,Organization,Heavy D Excavation,,,GeneralContractor,5,competitor,VALIDATED_LOCAL,https://www.heavydexcavation.net/,n/a,Names Foundation Excavation and Trenching & Drainage as distinct headings; no pond/driveway-excavation-specific content
Emerald Excavating,Organization,Emerald Excavating,,,GeneralContractor,5,competitor,VALIDATED_LOCAL,https://www.emeraldexc.com/,n/a,"Names water/sewer line and storm drain installation; uses AGTEK site-work software for earthwork quantity takeoffs (a genuine expertise signal, unique among the 10)"
Braun Excavating,Organization,Braun Excavating Inc.,,,GeneralContractor,5,competitor,VALIDATED_LOCAL,https://www.braunexcavating.net/,n/a,"Names ponds/lakes/basements under a combined ""Full-Service Excavation, Earthmoving, and Site Development"" tagline; 50+ years in business"
Strasheim Contracting,Organization,Strasheim Contracting,,,GeneralContractor,4,competitor,VALIDATED_LOCAL,https://www.strasheimcontracting.com/excavation-team-eugene-or,n/a,Lists brush clearing/grading/site prep/road construction together without distinguishing scopes
A&D Excavation and Land Improvement,Organization,A&D Excavation and Land Improvement LLC,,,GeneralContractor,5,competitor,VALIDATED_LOCAL,https://adexcavationllc.com/services,n/a,"Most detailed of the original 8 on driveway/utility/pad project types; treats excavation and grading as complementary but separate line items"
BBC Excavation Inc,Organization,BBC Excavation Inc,,,GeneralContractor,5,competitor_supplemental,VALIDATED_LOCAL,https://bbcexcavation.com/,n/a,"Reused supplemental competitor from site-prep pack; names ""pond digging and filling"" and pool excavation specifically — one of only 2/10 to name ponds"
Tectonic Construction,Organization,Tectonic Construction (Tectonic Outdoor Living),,,GeneralContractor,5,competitor_supplemental,VALIDATED_LOCAL,https://tectonicoutdoorliving.com/excavation/,n/a,"NEW supplemental competitor — surfaced organically ranking for ""excavation contractor eugene oregon"" with a dedicated /excavation/ page naming driveway/road excavation, home pads, utility trenching, tight-access and conveyor-belt excavation; does not mention ponds; original URL oregontectonic.com 301-redirects here"
GeneralContractor (schema.org type),SchemaType,GeneralContractor,,,GeneralContractor,9,schema_recommendation,VALIDATED,https://schema.org/GeneralContractor,n/a,Canonical schema decision reused from home pack — Service schema nested under this as @type on this page
Service (schema.org type),SchemaType,Service,,,Service,8,schema_recommendation,VALIDATED,https://schema.org/Service,n/a,Reused from site-prep pack row 41 — recommended @type for this page (provider = GeneralContractor entity)
