Priority,Cluster,Parent Topic,Page,Page Type,Search Intent,Primary Entity,Primary Keyword,Recommended URL,Status,Business Value
P2,City x Svc,Springfield,Septic - Springfield,City x service,Local commercial,Septic Springfield,septic springfield or,/service-areas/springfield/septic/,RECOMMENDED,4
P2,City x Svc,Springfield,Land Clearing - Springfield,City x service,Local commercial,Land clearing Springfield,land clearing springfield or,/service-areas/springfield/land-clearing/,RECOMMENDED,3
P2,City x Svc,Springfield,Excavation - Springfield,City x service,Local commercial,Excavation Springfield,excavation springfield or,/service-areas/springfield/excavation/,RECOMMENDED,4
P2,Local,Lane County,Cottage Grove,City page,Local commercial,Cottage Grove OR,excavation cottage grove or,/service-areas/cottage-grove/,RECOMMENDED,3
P2,Local,Lane County,Junction City,City page,Local commercial,Junction City OR,excavation junction city or,/service-areas/junction-city/,RECOMMENDED,3
P2,Local,Lane County,Creswell,City page,Local commercial,Creswell OR,excavation creswell or,/service-areas/creswell/,RECOMMENDED,3
P2,Local,Lane County,Veneta,City page,Local commercial,Veneta OR,excavation veneta or,/service-areas/veneta/,RECOMMENDED,3
P2,Cost,Resources,Excavation cost Oregon,Commercial investigation,Commercial investigation,Excavation cost,excavation cost oregon,/resources/excavation-cost-oregon/,RECOMMENDED,3
P2,Cost,Resources,Site preparation cost,Commercial investigation,Commercial investigation,Site prep cost,site preparation cost,/resources/site-preparation-cost/,RECOMMENDED,3
P2,Cost,Resources,Land clearing cost per acre Oregon,Commercial investigation,Commercial investigation,Land clearing cost,land clearing cost per acre oregon,/resources/land-clearing-cost-per-acre-oregon/,RECOMMENDED,3
P2,Cost,Resources,Septic installation cost Oregon,Commercial investigation,Commercial investigation,Septic cost,septic installation cost oregon,/resources/septic-installation-cost-oregon/,RECOMMENDED,4
P3,Local,Lane County,Florence (confirm coverage),City page,Local commercial,Florence OR,excavation florence or,/service-areas/florence/,RECOMMENDED-CONFIRM,2
P3,Local,Lane County,Oakridge,City page,Local commercial,Oakridge OR,excavation oakridge or,/service-areas/oakridge/,RECOMMENDED,2
P3,Local,Lane County,Coburg,City page,Local commercial,Coburg OR,excavation coburg or,/service-areas/coburg/,RECOMMENDED,2
P3,Local,Lane County,Lowell,City page,Local commercial,Lowell OR,excavation lowell or,/service-areas/lowell/,RECOMMENDED,2
P3,Info,Resources,How to prepare land for construction,Informational,Project research,Preparing land,how to prepare land for building,/resources/preparing-land-for-construction/,RECOMMENDED,2
P3,Info,Resources,Fix standing water / drainage problems,Problem/solution,Problem/solution,Standing water,fix standing water in yard,/resources/fix-standing-water-yard/,RECOMMENDED,3
P3,Info,Resources,How to choose an excavation contractor,Hiring,Commercial investigation,Choosing a contractor,how to choose excavation contractor,/resources/choosing-an-excavation-contractor/,RECOMMENDED,3
P3,Info,Resources,Oregon septic basics (Lane County / DEQ),Informational,Informational,Oregon septic,septic system oregon rules,/resources/oregon-septic-basics/,RECOMMENDED,2
