query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,gsc_imps,gsc_position,serp_features,target_page_slug,priority,notes
what is the 5 4 3 2 1 rule for trenching,PAA,informational,awareness,no,browse,long,low,,,paa,trenching-services-eugene-oregon,P2,Appears in irrigation trenching PAA — OSHA trench safety rule
how deep can you dig without shoring,PAA,informational,awareness,no,browse,long,low,,,paa,trenching-services-eugene-oregon,P2,OSHA 1926 content — 5 feet rule; most irrigation trenches are exempt
what are the laws in Oregon regarding digging,PAA,informational,awareness,yes,browse,long,low,,,paa,trenching-services-eugene-oregon,P1,Oregon 811 / ORS Chapter 757 — excellent citation opportunity
can I rent a machine to dig a trench,PAA,informational,awareness,no,browse,long,low,,,paa,trenching-services-eugene-oregon,P2,DIY decision point — acknowledge but redirect to professional value
is trenching a difficult job,PAA,informational,awareness,no,browse,long,low,,,paa,trenching-services-eugene-oregon,P2,DIY vs. pro decision content — important to address honestly
how long does it take to trench 100 ft,PAA,informational,awareness,no,browse,long,low,,,paa,trenching-services-eugene-oregon,P2,Timeline question — answer in cost/FAQ section
how many feet can a trencher dig in a day,PAA,informational,awareness,no,browse,long,low,,,paa,trenching-services-eugene-oregon,P2,Equipment productivity question — useful for project planning
how to charge for a trenching job,PAA,informational,awareness,no,browse,long,low,,,paa,trenching-services-eugene-oregon,P3,Contractor-facing query — minimal value for homeowner audience
irrigation trenching tips,YouTube/content,informational,awareness,no,browse,long,low,,,video,trenching-services-eugene-oregon,P3,YouTube content query — informational
trenching and pulling pipe for irrigation,YouTube/content,informational,awareness,no,browse,long,low,,,video,trenching-services-eugene-oregon,P3,DIY / YouTube — reference for FAQ content
best way to trench sprinkler system,YouTube/content,informational,awareness,no,browse,long,low,,,video,trenching-services-eugene-oregon,P3,DIY question — address in "DIY vs professional" section
underground utility contractor Eugene Oregon,search intent expansion,transactional,decision,yes,scheduled,long,high,,,,trenching-services-eugene-oregon,P1,Already used in /utility-trenching-eugene-oregon brief — cross-page
trench digging service near me Eugene,search intent expansion,transactional,decision,yes,emergency/scheduled,long,high,,,,trenching-services-eugene-oregon,P1,Near-me variant — local pack important
trenching contractor near me Lane County,search intent expansion,transactional,decision,yes,scheduled,long,high,,,,trenching-services-eugene-oregon,P1,Near-me + county modifier
water line trenching Eugene OR,search intent expansion,transactional,decision,yes,scheduled,long,high,,,,utility-trenching-eugene-oregon,P0,Route to /utility-trenching-eugene-oregon (already exists)
sewer trenching Eugene Oregon,search intent expansion,transactional,decision,yes,scheduled,long,high,,,,utility-trenching-eugene-oregon,P0,Route to /utility-trenching-eugene-oregon (already exists)
trench digging Springfield Oregon,search intent expansion,transactional,decision,yes,scheduled,long,high,,,,trenching-services-eugene-oregon,P1,Springfield variant — this page covers Springfield
ditch digging Springfield Oregon,search intent expansion,transactional,decision,yes,scheduled,long,medium,,,,trenching-services-eugene-oregon,P1,Springfield ditch digging — underserved locally
irrigation trenching Springfield OR,search intent expansion,commercial/transactional,decision,yes,scheduled,long,high,,,,trenching-services-eugene-oregon,P1,Springfield irrigation — same gap as Eugene
trench digging cost Eugene Oregon,search intent expansion,informational/commercial,consideration,yes,browse,long,medium,,,,trenching-services-eugene-oregon,P1,Cost research with local modifier — strong conversion path
irrigation system trenching cost Lane County,search intent expansion,commercial,consideration,yes,browse,long,medium,,,,trenching-services-eugene-oregon,P1,Irrigation system cost local — homeowner budgeting
septic trenching Lane County,search intent expansion,transactional,decision,yes,scheduled,long,high,,,,septic-installation-lane-county-oregon,P0,Route to /septic/ page (already exists)
septic trench digging Eugene Oregon,search intent expansion,transactional,decision,yes,scheduled,long,high,,,,septic-installation-lane-county-oregon,P0,Route to /septic/ page (already exists)
trench for fence post Lane County,search intent expansion,transactional,decision,yes,scheduled,long,low,,,,trenching-services-eugene-oregon,P3,Minor — fence post trenching is very small jobs; mention briefly
Oregon 811 before trenching,search intent expansion,informational,awareness,yes,scheduled,long,low,,,,trenching-services-eugene-oregon,P1,Oregon-specific regulatory content — citation opportunity
call before you dig Oregon,search intent expansion,informational,awareness,yes,scheduled,long,low,,,,trenching-services-eugene-oregon,P1,OR811 awareness variant
trenching permit Lane County Oregon,search intent expansion,informational,consideration,yes,scheduled,long,low,,,,trenching-services-eugene-oregon,P1,Permit anxiety — important pre-call question
do I need a permit to dig a ditch Oregon,search intent expansion,informational,consideration,yes,browse,long,low,,,,trenching-services-eugene-oregon,P1,Permission anxiety about ditch digging; crosses into HOA/county territory
trench depth requirements Oregon,search intent expansion,informational,awareness,yes,browse,long,low,,,,trenching-services-eugene-oregon,P1,Depth requirements for irrigation vs. utility — differentiating content
vibratory plow vs trencher Oregon,search intent expansion,informational,consideration,no,browse,long,low,,,,trenching-services-eugene-oregon,P2,Equipment decision — Cojo Asphalt addresses this; relevant for irrigation
directional boring vs trenching Eugene,search intent expansion,informational,consideration,yes,browse,long,low,,,,trenching-services-eugene-oregon,P2,Boring = trenchless; relevant when trenching under driveways isn't feasible
emergency trenching Eugene Oregon,search intent expansion,transactional,decision,yes,emergency,long,high,,,,trenching-services-eugene-oregon,P1,Emergency pipe break — urgent context; CCB + availability signals critical
broken water line trench Eugene,search intent expansion,transactional,decision,yes,emergency,long,high,,,,trenching-services-eugene-oregon,P1,Emergency repair context — trench to access and replace broken pipe
