entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
Storm Drain Tie-In Permit (Eugene),GovernmentPermit,City of Eugene Stormwater Connection Permit (EC 6.610),,,GovernmentPermit,9,authority_new,VALIDATED,https://eugene.municipal.codes/EC/6.610,0/8 competitors mention this,"VERIFIED 2026-09-09: Eugene Code §6.610 — no person may connect a drain, downspout, or other conduit carrying stormwater to the city stormwater system without paying required fees and obtaining a permit from the City Engineer, issued only upon a determination the connection is a proper use of the system. Permits are issued only to a property owner (for their own residence) or to a licensed plumber/licensed septic-tank-installation contractor — a real, specific, checkable restriction on WHO can even pull this permit. Lines connecting private catch basins/pipes into the city system are not a city maintenance responsibility once connected. This is the single most concrete, uncontested Oregon-specific authority signal available to this page"
Storm Drain Tie-In Permit (Springfield),GovernmentPermit,City of Springfield Stormwater Connection Requirements,,,GovernmentPermit,6,authority_new,VALIDATED_LOCAL,https://springfield-or.gov/city/development-public-works/clean-water-and-stormwater/,n/a,"VERIFIED 2026-09-09: Springfield requires a connection permit to tie into the public storm system or to discharge to a waterway, administered under its Development Code (amended by Ordinance 6464, effective Jan. 8, 2024, governing post-construction stormwater requirements) and its NPDES MS4 permit obligations. Less granular public detail available than Eugene's EC 6.610 (no equivalent single code section found in this pass) — presented as a general rule with a recommendation to confirm specifics with Springfield's Development & Public Works Dept."
Lane County Stormwater Management Program,GovernmentOrganization,Lane County Stormwater Management Program,,,GovernmentOrganization,5,authority,VALIDATED,https://www.lanecounty.org/government/county_departments/public_works/engineering_and_construction_services/stormwater_management_program,n/a,"VERIFIED 2026-09-09 — administers stormwater permitting and code references for unincorporated Lane County; the authority to confirm connection/discharge rules for a property outside Eugene or Springfield city limits"
DEQ NPDES 1200-C (Construction Stormwater),GovernmentPermit,Oregon DEQ 1200-C Construction Stormwater General Permit,,,GovernmentPermit,3,reused_contextual,VALIDATED,https://www.oregon.gov/deq/wq/wqpermits/pages/stormwater-construction.aspx,n/a,"Reused from site-preparation pack — triggered at 1+ acre of disturbance from clearing/grading/excavation, not typical residential yard-drainage scale. Mentioned here only for scale context (most drainage-excavation jobs on this page fall well under this threshold), not re-derived in depth"
Oregon DSL Removal-Fill Law,Legislation,Oregon Removal-Fill Law (ORS 196.795-990),,,Legislation,5,reused_contextual,VALIDATED,https://www.oregon.gov/dsl/wetlands-waters/pages/removal-fill.aspx,n/a,"Reused from excavation/07-oregon-authority.md §4 — DSL permit required for removing/filling 50+ cubic yards in 'waters of the state' including wetlands, or for any volume with significant environmental impact. Relevant here only if a drain's discharge point is a wetland, stream, or other DSL-jurisdictional water — most yard-to-daylight or yard-to-dry-well discharges do not trigger this; state the general rule honestly rather than as a blanket requirement"
Oregon811,GovernmentOrganization,Oregon Utility Notification Center (Oregon 811),,,GovernmentOrganization,4,reused,VALIDATED,https://digsafelyoregon.com/,n/a,"Reused verbatim from excavation/07-oregon-authority.md §1 — 2 business days' advance notice, free, applies to any digging including a drainage trench. Not re-verified here"
OSHA 1926 Subpart P (Trench Safety),Legislation,29 CFR 1926 Subpart P — Excavations,,,Legislation,4,reused,VALIDATED,https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926SubpartP,n/a,"Reused verbatim from excavation/home packs — relevant here since deep French drains (4-6 ft, tied to a footing) can cross the 5-ft protective-system threshold; shallow yard drains (18-36 in) typically do not"
Willamette Valley Clay Soil,Place,Willamette Valley,,,Place,6,reused_context,VALIDATED,https://en.wikipedia.org/wiki/Willamette_Valley,n/a,"Reused from home pack — clay soil drains poorly and compacts when wet, which is both why standing-water problems are common here AND why filter fabric and washed gravel matter more here than in sandier soils"
Eugene,City,"Eugene, Oregon",,,City,8,geo_primary,VALIDATED,https://en.wikipedia.org/wiki/Eugene,_Oregon,n/a,Canonical form reused from home pack
Springfield,City,"Springfield, Oregon",,,City,6,geo_secondary,VALIDATED,https://en.wikipedia.org/wiki/Springfield,_Oregon,n/a,Canonical form reused from home pack
Mini Excavator,EquipmentCategory,Mini Excavator,Q557056,,Product,5,equipment_context,VALIDATED,https://en.wikipedia.org/wiki/Excavator,current live D&D page names this,"Cuts trenches to the depth and consistent slope a drain line needs to actually flow (roughly 1% grade, ~1 in. of drop per 8-10 ft) — reused/extended from the current live page's equipment section"
M4 Landworks,Organization,M4 Landworks (M4 Excavation),,,GeneralContractor,5,newly_found_competitor,VALIDATED_LOCAL,https://m4excavation.com/drainage-solutions/,n/a,"NEW FINDING for this pack — a Northwest Oregon competitor with a dedicated drainage-solutions page naming French drains, culvert installation/replacement, and swales/dry creek beds by name (claims French drains 'can last 15-25 years or more'). No pricing or permit information anywhere on the page — a genuine, specific gap D&D can close"
Pacific Earthworks LLC,Organization,Pacific Earthworks LLC,,,GeneralContractor,2,newly_found_competitor,VALIDATED_LOCAL,https://www.pacificearthworksllc.com/french-drains,n/a,"NEW FINDING — has a dedicated /french-drains page (not deep-dived beyond discovery in this pass); confirms French-drain-as-a-named-service is a real, existing local search category worth targeting directly, not a hypothetical"
Cojo Asphalt (content source),Organization,Cojo Asphalt,,,Organization,3,content_source_not_competitor,VALIDATED_LOCAL,https://www.cojoasphalt.com/,n/a,"A contractor content/blog source (already used in the foundation-excavation pack for frost-depth content) with dedicated posts on French drain trench excavation and Springfield storm drain installation — used here as a sourcing reference for depth/cost/material facts, not treated as a direct local competitor for drainage excavation specifically"
Danco Excavation,Organization,Danco Excavation,,,GeneralContractor,3,competitor,VALIDATED_LOCAL,https://dancoexcavation.com/,n/a,"CHECKED DIRECTLY 2026-09-09 for drainage-specific content: only generic 'proper grading...improves drainage' language; no French drain, curtain drain, catch basin, or dry well terminology anywhere"
All Dirt Inc,Organization,"All Dirt, Inc.",,,GeneralContractor,3,competitor,VALIDATED_LOCAL,https://alldirtinc.com/services/excavation,n/a,"CHECKED DIRECTLY 2026-09-09: only lists 'Drainage solutions' as a vague line item alongside 'Precision grading' and 'Erosion control' — no buried-system terminology, no depth/cost/permit content"
Heavy D Excavation,Organization,Heavy D Excavation,,,GeneralContractor,3,competitor,VALIDATED_LOCAL,https://www.heavydexcavation.net/,n/a,"CHECKED DIRECTLY 2026-09-09: only generic 'Expert drainage solutions to protect your property and ensure proper water flow year-round' — no buried-system terminology"
Service (schema.org type),SchemaType,Service,,,Service,8,schema_recommendation,VALIDATED,https://schema.org/Service,n/a,Reused from all prior packs — recommended @type for this page (provider = D&D Land Works GeneralContractor entity)
GeneralContractor (schema.org type),SchemaType,GeneralContractor,,,GeneralContractor,9,schema_recommendation,VALIDATED,https://schema.org/GeneralContractor,n/a,Canonical schema decision reused from home pack
