entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
Lane County Land Management Division,Organization,Lane County Land Management Division,,/g/1q5b6h1wv_lmd,GovernmentOrganization,0.8,Primary authority source,VALIDATED,https://www.lanecountyor.gov/government/county_departments/public_works/land_management_division,4/9,Issued "Trenching for Utilities" guidance — primary source for depth table
Lane County Public Works,Organization,Lane County Public Works,,,GovernmentOrganization,0.7,ROW Facility Permit issuing agency,VALIDATED,https://www.lanecountyor.gov/government/county_departments/public_works,3/9,3050 N. Delta Hwy Eugene; (541) 682-6902; 6-8 week processing
Eugene Water & Electric Board,Organization,Eugene Water & Electric Board,Q5414278,,PublicUtility,0.7,Local water/electric utility,VALIDATED,https://en.wikipedia.org/wiki/Eugene_Water_%26_Electric_Board,2/9,Wikipedia entity; appears in SERP for "water line trenching Eugene"
Springfield Utility Board,Organization,Springfield Utility Board,,,PublicUtility,0.6,Local water/electric utility Springfield,VALIDATED_LOCAL,https://www.subutil.com,1/9,Serves Springfield and eastern Eugene metro
NW Natural,Organization,NW Natural Gas Company,,/g/1hhbpxf1y,GasUtility,0.7,Regional gas utility Oregon,VALIDATED,https://www.nwnatural.com,2/9,Installs from street main to meter; contractor handles private-side trench
Oregon ADU Law,LegalDocument,Oregon Accessory Dwelling Unit Law,,,LegalDocument,0.6,Demand driver; SB 1051 + HB 2001,VALIDATED,https://www.oregon.gov/lcd/Publications/ADU_Guidance_updatedSept2019.pdf,0/9,Every new detached ADU = utility trenching; zero-competitor coverage
OSHA 29 CFR 1926 Subpart P,LegalDocument,OSHA Excavation Safety Standard,,,LegalDocument,0.5,Trench safety authority,VALIDATED,https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.652,3/9,Reused from excavation pack; utility trenches generally under 4-5 ft threshold
Malpass Silty Clay Loam,GeologicalFeature,Malpass Silty Clay Loam,,,GeologicalFeature,0.5,Lane County soil; affects timing,VALIDATED,https://websoilsurvey.sc.egov.usda.gov,0/9,Valley floor soil type; wet season retention; anti-doorway differentiator
Lane County Frost Depth,LocalSpecification,Lane County Oregon Frost Depth,,,LocalSpecification,0.6,12" frost depth driving 24" water line min,VALIDATED_LOCAL,https://www.lanecountyor.gov,0/9,Local specification verified via Lane County LMD page
ORS Chapter 757,LegalDocument,Oregon Revised Statutes Chapter 757,,,LegalDocument,0.5,OR811 governing law,VALIDATED,https://oregon.public.law/statutes/ors_chapter_757,1/9,Governing authority for Oregon 811 notification requirement
Communications/Fiber Conduit,Service/Utility,Underground Communications Conduit,,,Service,0.4,Fifth utility type; honest gap,NOT_FOUND,N/A,0/9,No Oregon state-code depth minimum found; ISP/utility-company-specific; do not invent depth figure
