query,source,intent,funnel_stage,local_modifier,urgency,head_or_long_tail,commercial_value,target_page_slug,priority,notes
who is required to call 811 in oregon,paa,informational,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P0,Oregon811 obligation clarity
oregon811 utility trenching,serp,informational,awareness,y,browse,long,medium,/utility-trenching-eugene-oregon,P1,OR811 + service combined
call before you dig oregon,serp,informational,awareness,y,browse,long,medium,/utility-trenching-eugene-oregon,P1,OR811 awareness term
how long is oregon 811 ticket good for,paa,informational,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P0,Ticket validity — new 30-day rule; zero-competitor coverage
oregon811 ticket expiration 30 days,serp,informational,awareness,y,browse,long,low,/utility-trenching-eugene-oregon,P1,New regulatory detail (2025/2026 change)
do i need a permit for utility trenching lane county,paa,informational,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P0,Permit-anxiety PAA
lane county right of way permit trenching,serp,informational,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P1,ROW permit; 6-8 week process; Lane County Public Works
utility trench permit cost oregon,serp,commercial,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P2,Permit cost ranges
utility trenching cost per foot oregon,serp,commercial,consideration,y,browse,mid,high,/utility-trenching-eugene-oregon,P0,Cost-intent head term; cojoasphalt.com ranks
water line trenching cost oregon,serp,commercial,consideration,y,browse,mid,high,/utility-trenching-eugene-oregon,P0,Cost-intent sub-service
sewer lateral trenching cost oregon,serp,commercial,consideration,y,browse,mid,high,/utility-trenching-eugene-oregon,P0,Cost-intent sub-service
electrical conduit trenching cost oregon,serp,commercial,consideration,y,browse,mid,high,/utility-trenching-eugene-oregon,P1,Cost-intent sub-service
gas line trenching cost oregon,serp,commercial,consideration,y,browse,mid,high,/utility-trenching-eugene-oregon,P1,Cost-intent sub-service
joint trench cost oregon,serp,commercial,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P1,Joint trench pricing; cojoasphalt.com cost guide covers this; expand
trenching under driveway cost oregon,serp,commercial,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P1,Hardscape differential cost
trenching under concrete cost,serp,commercial,consideration,n,browse,long,medium,/utility-trenching-eugene-oregon,P2,Hardscape specific
how much does utility trenching cost in eugene oregon,serp,commercial,decision,y,browse,long,high,/utility-trenching-eugene-oregon,P0,Eugene-specific cost query
adu utility trenching eugene oregon,serp,commercial,decision,y,scheduled,long,high,/utility-trenching-eugene-oregon,P0,ADU-driven demand; Oregon ADU law context
utility trenching for adu lane county,serp,commercial,decision,y,scheduled,long,high,/utility-trenching-eugene-oregon,P1,ADU county-level variant
new construction utility trenching eugene or,serp,commercial,decision,y,scheduled,long,high,/utility-trenching-eugene-oregon,P1,New construction buyer
utility trenching for shop or barn eugene,serp,commercial,decision,y,scheduled,long,medium,/utility-trenching-eugene-oregon,P2,Outbuilding buyer
utility trenching for detached garage eugene,serp,commercial,decision,y,scheduled,long,medium,/utility-trenching-eugene-oregon,P2,Outbuilding buyer
run water to detached garage oregon,serp,commercial,consideration,n,browse,long,medium,/utility-trenching-eugene-oregon,P1,Outbuilding water line natural language
cost to run power to a shop from house oregon,serp,commercial,consideration,y,browse,long,high,/utility-trenching-eugene-oregon,P1,Outbuilding power natural language
sewer lateral installation lane county,serp,commercial,decision,y,scheduled,mid,high,/utility-trenching-eugene-oregon,P1,Sewer lateral specific
new water service line eugene oregon,serp,commercial,decision,y,scheduled,mid,high,/utility-trenching-eugene-oregon,P1,New water line specific
water service line replacement eugene or,serp,commercial,decision,y,scheduled,mid,high,/utility-trenching-eugene-oregon,P1,Replacement buyer
electrical trenching eugene oregon,serp,commercial,decision,y,scheduled,mid,high,/utility-trenching-eugene-oregon,P1,Electrical-only variant
sub panel trenching cost eugene or,serp,commercial,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P2,Sub-panel/outbuilding electrical
ev charger trenching cost eugene oregon,serp,commercial,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P2,EV charger trenching demand driver
tracer wire requirements oregon,serp,informational,awareness,y,browse,long,low,/utility-trenching-eugene-oregon,P2,Tracer wire detail; zero-competitor coverage
tracer wire color code utility trench,serp,informational,awareness,n,browse,long,low,/utility-trenching-eugene-oregon,P2,Color-specific tracer wire lookup
bedding material utility trench oregon,serp,informational,awareness,n,browse,long,low,/utility-trenching-eugene-oregon,P2,Material-specific term
what does utility trenching contractor do,serp,informational,awareness,n,browse,long,low,/utility-trenching-eugene-oregon,P2,Awareness-stage question
utility excavation vs utility trenching,serp,informational,consideration,n,browse,long,medium,/utility-trenching-eugene-oregon,P1,Scope-boundary disambiguation (links to /utility-excavation/)
what is the difference between trenching and excavation,paa,informational,awareness,n,browse,long,medium,/utility-trenching-eugene-oregon,P1,PAA disambiguation
utility trenching cottage grove oregon,serp,commercial,decision,y,scheduled,mid,medium,/utility-trenching-eugene-oregon,P2,Tier 2 city variant
utility trenching junction city oregon,serp,commercial,decision,y,scheduled,mid,medium,/utility-trenching-eugene-oregon,P2,Tier 2 city variant
utility trenching creswell oregon,serp,commercial,decision,y,scheduled,mid,low,/utility-trenching-eugene-oregon,P3,Tier 2 city variant
utility trenching veneta oregon,serp,commercial,decision,y,scheduled,mid,low,/utility-trenching-eugene-oregon,P3,Tier 2 city variant
licensed bonded utility trenching contractor oregon,serp,commercial,decision,y,scheduled,long,high,/utility-trenching-eugene-oregon,P1,Trust-signal combined query
ccb licensed utility trenching eugene,serp,commercial,decision,y,scheduled,long,medium,/utility-trenching-eugene-oregon,P2,CCB-specific trust query
free estimate utility trenching eugene,serp,commercial,decision,y,scheduled,long,high,/utility-trenching-eugene-oregon,P0,Conversion-intent
d&d land works utility trenching,serp,navigational,decision,y,scheduled,mid,medium,/utility-trenching-eugene-oregon,P1,Brand + service navigational
eweb new water service connection,serp,navigational,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P2,Utility coordination navigational — EWEB
springfield utility board new service,serp,navigational,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P2,Utility coordination navigational — SUB
nw natural new gas service oregon,serp,navigational,consideration,y,browse,long,low,/utility-trenching-eugene-oregon,P2,Gas utility coordination navigational
nec table 300.5 burial depth,serp,informational,awareness,n,browse,long,low,/utility-trenching-eugene-oregon,P2,Code-lookup phrasing
opsc 609.1 water service depth,serp,informational,awareness,n,browse,long,low,/utility-trenching-eugene-oregon,P2,Code-section lookup
orsc g2415.12 gas line depth,serp,informational,awareness,n,browse,long,low,/utility-trenching-eugene-oregon,P2,Code-section lookup
lane county trenching for utilities,serp,informational,awareness,y,browse,long,medium,/utility-trenching-eugene-oregon,P0,Direct match to Lane County government source
what happens if you hit a utility line,paa,informational,awareness,n,browse,long,medium,/utility-trenching-eugene-oregon,P1,Failure-mode PAA
hit unmarked utility line liability oregon,serp,informational,awareness,y,browse,long,medium,/utility-trenching-eugene-oregon,P1,Liability-specific
who contacts utility company for new tap,paa,informational,consideration,n,browse,long,medium,/utility-trenching-eugene-oregon,P0,Coordination-role disambiguation
permit for new water service line eugene or,serp,informational,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P1,Permit-specific local
new sewer connection permit eugene,serp,informational,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P1,Sewer permit-specific
utility trenching wet season willamette valley,serp,informational,awareness,y,browse,long,low,/utility-trenching-eugene-oregon,P2,Seasonal timing angle; zero-competitor coverage
best time to schedule excavation eugene oregon,serp,informational,consideration,y,browse,long,low,/utility-trenching-eugene-oregon,P2,Seasonal planning
willamette valley clay soil excavation,serp,informational,awareness,y,browse,long,low,/utility-trenching-eugene-oregon,P2,Soil-specific — Malpass clay context
lane county soil trenching,serp,informational,awareness,y,browse,long,low,/utility-trenching-eugene-oregon,P2,Soil-specific local
utility trench inspection before backfill oregon,serp,informational,consideration,y,browse,long,medium,/utility-trenching-eugene-oregon,P1,Inspection timing
open trench vs trenchless utility oregon,serp,informational,consideration,n,browse,long,medium,/utility-trenching-eugene-oregon,P2,Method comparison; D&D = open trench; honest scope note
directional boring vs trenching oregon,serp,informational,consideration,n,browse,long,low,/utility-trenching-eugene-oregon,P2,Method comparison
deq certified excavation contractor oregon,serp,commercial,decision,y,scheduled,long,medium,/utility-trenching-eugene-oregon,P1,DEQ cert differentiation angle
deq certified trenching eugene,serp,commercial,decision,y,scheduled,long,medium,/utility-trenching-eugene-oregon,P1,DEQ cert + location
osha trench safety requirements,serp,informational,awareness,n,browse,long,medium,/utility-trenching-eugene-oregon,P2,OSHA 1926 Subpart P context (reused)
how deep before osha requires shoring,paa,informational,awareness,n,browse,long,medium,/utility-trenching-eugene-oregon,P2,OSHA shoring threshold
