entity_name,entity_type,canonical_name,qid,kg_id,schema_type,salience_score,role,validation_status,sameAs_url,co_occurrence_status,notes
Lane County Grading and Fill Permit,GovernmentPermit,Lane County Grading and Fill Permit,,,GovernmentPermit,7,process_entity,VALIDATED_LOCAL,https://willamettecraftworks.com/permitting/lane-county-or/,n/a,"Reused verbatim from site-preparation/entity-inventory.csv row 7 — do not re-verify. Triggered by >50 cubic yards of moved earth OR a cut/fill slope steeper than 2:1. Applied to THIS page's context: most small yard-leveling jobs (a typical 1,000-3,000 sq ft yard regraded a few inches deep) fall well under 50 cubic yards; a large full-property regrade at deeper cut/fill could approach or exceed it — state the general rule honestly, not as a blanket 'no permit ever needed' claim"
Lane County Land Management Division,GovernmentOrganization,Lane County Land Management Division,,,GovernmentOrganization,6,authority,VALIDATED,https://www.lanecounty.org/government/county_departments/public_works/land_management_division,n/a,Reused from home/site-prep packs — the authority to confirm permit status with, same caveat pattern as prior packs
Willamette Valley,Place,Willamette Valley,,,Place,6,geo_context,VALIDATED,https://en.wikipedia.org/wiki/Willamette_Valley,n/a,"Canonical form reused from home pack row 22 — clay soil compacts poorly when wet and holds water in low spots, directly relevant to why regrading problems are common here and to seasonal-timing guidance"
Eugene,City,"Eugene, Oregon",,,City,9,geo_primary,VALIDATED,https://en.wikipedia.org/wiki/Eugene,_Oregon,n/a,Canonical form reused from home pack row 12
Springfield,City,"Springfield, Oregon",,,City,7,geo_secondary,VALIDATED,https://en.wikipedia.org/wiki/Springfield,_Oregon,n/a,Canonical form reused from home pack row 13
Excavator,EquipmentCategory,Excavator,Q557056,,Product,4,equipment_context,VALIDATED,https://en.wikipedia.org/wiki/Excavator,current live page names this,"Canonical form reused from home pack row 34 — used here for fine grading near a foundation/hardscape edge with a smooth bucket, per current live page"
Skid steer loader,EquipmentCategory,Skid-Steer Loader,Q1548219,,Product,5,equipment_context,VALIDATED,https://en.wikipedia.org/wiki/Skid-steer_loader,current live page names this,"Canonical form reused from home pack row 35 — with a grading attachment, handles bulk shaping per current live page"
Bulldozer,EquipmentCategory,Bulldozer,Q179876,,Product,4,equipment_context,VALIDATED,https://en.wikipedia.org/wiki/Bulldozer,current live page names this ("dozer"),Canonical form reused from home pack row 36
Laser Level (grading),EquipmentCategory,Laser Grading Level,,,Product,3,equipment_context,VALIDATED_LOCAL,,current live page names this,"Holds consistent slope across a run — directly ties to the positive-drainage-slope concept as the tool that achieves it precisely"
All Dirt Inc,Organization,"All Dirt, Inc.",,,GeneralContractor,4,competitor,VALIDATED_LOCAL,https://alldirtinc.com/services/excavation,n/a,"CHECKED DIRECTLY 2026-09-08 for standalone grading content: only mentions 'precision grading' as a line item within general excavation capabilities, contextualized within foundation work/new construction — does NOT offer or mention standalone yard leveling/regrading as its own service"
Danco Excavation,Organization,Danco Excavation,,,GeneralContractor,4,competitor,VALIDATED_LOCAL,https://dancoexcavation.com/,n/a,Lists grading among general excavation/land-clearing/driveway services; no standalone yard-regrade framing found
Heavy D Excavation,Organization,Heavy D Excavation,,,GeneralContractor,4,competitor,VALIDATED_LOCAL,https://www.heavydexcavation.net/,n/a,Lists drainage and foundation excavation; no standalone yard-leveling framing found
Braun Excavating,Organization,Braun Excavating Inc.,,,GeneralContractor,3,competitor,VALIDATED_LOCAL,https://www.braunexcavating.net/,n/a,Specializes in home pads/utility trenching/septic/subdivisions — construction-tied grading only, no standalone yard content found
McKenzie Excavating,Organization,"McKenzie Excavating, Inc.",,,GeneralContractor,3,competitor,VALIDATED_LOCAL,https://mckenzieexcavatingor.com/excavating,n/a,Reused from excavation pack — grading folded into general "Excavating" page language, no standalone yard-leveling service found
HomeAdvisor,Organization,HomeAdvisor (Angi Leads),,,Organization,3,directory_taxonomy_source,VALIDATED,https://www.homeadvisor.com/,n/a,Source of the "Landscape Minor Grading or Resloping" vs "Excavation Major Grading or Resloping" taxonomy corroboration above
Service (schema.org type),SchemaType,Service,,,Service,8,schema_recommendation,VALIDATED,https://schema.org/Service,n/a,Reused from site-prep/excavation packs — recommended @type for this page (provider = GeneralContractor entity)
GeneralContractor (schema.org type),SchemaType,GeneralContractor,,,GeneralContractor,9,schema_recommendation,VALIDATED,https://schema.org/GeneralContractor,n/a,Canonical schema decision reused from home pack
